Registration No,Title,Subj,Instructor
10478,Introduction to Sociology,SOC,Schneiberg
10479,Introduction to Sociology,SOC,Tudor
10480,Introduction to Sociology,SOC,Tudor
20684,Race and Ethnicity,SOC,Schneiberg
20685,Race and Ethnicity,SOC,Schneiberg
20653,Sociology of Religion,SOC,Tudor
20654,Sociology of Religion,SOC,Tudor
10520,Research Methods,SOC,Tudor
20646,American Capitalism,SOC,Schneiberg
20595,Vascular Plant Diversity,BIOL,Raubeson
10522,Sociology of Culture,SOC,Hrycak
10199,First Year Spanish,SPAN,Drumm
10200,First Year Spanish,SPAN,Moret
10201,First Year Spanish,SPAN,Schulz
10202,Second Year Spanish,SPAN,Fischer
10203,Second Year Spanish,SPAN,Fischer
10378,Second Year Spanish,SPAN,Moret
10491,Theory  and  Practice HispanicLit,SPAN,Moret
10492,Theory  and  Practice HispanicLit,SPAN,Schulz
20492,Spanish Short Story,SPAN,Alonso
10610,Animal Behav.  and  Behav.Ecology,BIOL,Yezerinac
10494,Modern Peninsular Drama,SPAN,Drumm
20491,Mod Spanish American Drama,SPAN,Larisch
20683,Penin Lit: Dogma  and  Disbelief,SPAN,Garcia-Bryce
10493,Spl Tops Span Amer Lit:Borges,SPAN,Fischer
10770,The City in Span Amer Lit,SPAN,Schulz
20490,Lit Responses to Dictatorship,SPAN,Fischer
10528,Introduction to Theatre,THEA,Worley
10530,Masks  and  Make-up Design,THEA,Carr
10531,Design for the Theatre: Sets,THEA,Muller
20525,Costume History  and  Design,THEA,Carr
10611,Animal Behav.  and  Behav.Ecology,BIOL,Yezerinac
20526,Design for Theatre: Lights,THEA,Muller
10532,Acting Laboratory,THEA,Worley
10533,Plays and Playhouses,THEA,Clinton
20527,Intercultr ExperimentsTheatre,THEA,Worley
10534,Playwriting,THEA,Clinton
20528,Techniques of Acting,THEA,Worley
10535,Directing I,THEA,Clinton
20529,Special Problems in Directing,THEA,Clinton
10744,Topics in FrenchEnlightenment,HIST,Kierstead
10745,Greek Humanities,HUM,King
10482,General Linguistics,ANTH,Haviland
10612,Animal Behav.  and  Behav.Ecology,BIOL,Yezerinac
20649,ColonizingAfrica:Conrad and Congo,LBST,Lowe
20650,Don Quixote  and  Narr. Theory,LIT,Drumm
10746,Ornamental Art,MATH,Wieting
20651,Experiments Intercult Theatre,THEA,Worley
10613,Developmental Biology,BIOL,Black
10614,Developmental Biology,BIOL,Black
10615,Developmental Biology,BIOL,Black
20597,Genetics and Gene Regulation,BIOL,Shampay
20599,Genetics and Gene Regulation,BIOL,Shampay
20600,Genetics and Gene Regulation,BIOL,Shampay
10771,Microbiology,BIOL,Mellies
10772,Microbiology,BIOL,Mellies
10773,Microbiology,BIOL,Mellies
10485,Language in Society,ANTH,Haviland
20603,Microbiology,BIOL,
20604,Microbiology,BIOL,
20605,Microbiology,BIOL,
10616,Genetics and MolecularBiology,BIOL,Russell
10617,Genetics and MolecularBiology,BIOL,Russell
10618,Genetics and MolecularBiology,BIOL,Russell
10619,Genetics and MolecularBiology,BIOL,Russell
20606,Population Bio:Ecolgy and Evolutn,BIOL,Kaplan
20608,Population Bio:Ecolgy and Evolutn,BIOL,Kaplan
20610,Population Bio:Ecolgy and Evolutn,BIOL,Kaplan
10768,Ethnic  and  Nation France  and  NAfr,ANTH,Silverstein
10410,Scientific Computation,BIOL,Crandall
20617,Cellular Biology,BIOL,McClellan
20620,Cellular Biology,BIOL,McClellan
20621,Cellular Biology,BIOL,McClellan
10620,Animal Physiology,BIOL,Arch
10622,Animal Physiology,BIOL,Arch
10623,Animal Physiology,BIOL,Arch
10776,Evolutionary Biology,BIOL,Raubeson
10778,Evolutionary Biology,BIOL,Raubeson
10779,Evolutionary Biology,BIOL,Raubeson
